en,ja,level
crisis,危機,3
cross,渡る、十字,3
crowd,群衆,3
crush,押し潰す,3
cure,治療する,3
current,現在の、流れ,3
custom,習慣,3
damage,損害,3
deaf,耳が聞こえない,3
deal,取引する,3
dear,拝啓,3
debate,論じる,3
decide,決める,3
declare,宣言する,3
decrease,減らす,3
defend,防御する,3
define,定義する,3
degree,程度,3
delay,延期する,3
delicate,壊れやすい,3
deliver,届ける,3
demand,要求する、要求,3
demonstrate,証明する,3
deny,否定する,3
depend,頼る,3
detail,細部、詳しく述べる,3
develop,開発する,3
device,機器,3
dig,掘る,3
dirt,汚れ,3
disappear,消える,3
discover,発見する,3
discuss,論じる,3
disease,病気,3
dispute,論争する、口論,3
drain,排出させる、排水溝,3
draw,描く,3
earn,稼ぐ,3
edge,縁,3
effect,結果、もたらす,3
effort,努力,3
electricity,電気,3
element,成分,3
embassy,大使館,3
emergency,緊急,3
emotion,感情,3
employ,雇う,3
empty,空の、空にする,3
enemy,敵,3
enforce,施行する,3
entertain,楽しませる,3
environment,環境,3
equal,平等な、対等、等しい,3
erase,消す,3
escape,逃亡する、逃亡,3
especially,特に,3
establish,設立する,3
even,均等の,3
evil,邪悪な,3
exact,正確な,3
except,（～を）除いて、除く,3
exchange,交換する、交換,3
expect,予期する,3
expense,費用,3
experience,経験、経験する,3
explain,説明する,3
explode,爆発する,3
explore,探検する,3
export,輸出する、輸出,3
express,示す,3
extend,拡張する,3
extra,余分な、余分,3
extreme,"極端な,、極端",3
fail,失敗する,3
fair,公正な,3
fear,恐怖、恐れる,3
feather,羽毛,3
feature,特徴、特徴づける,3
feed,食物を与える、えさ,3
feel,感じる、感触,3
figure,姿、飾る,3
finance,財政、資金調達する,3
fine,細かい、うまく,3
fit,ふさわしい、合う、合い具合,3
float,浮かぶ、浮かぶもの,3
fluid,液体、流れる,3
fog,霧、もやでつつむ,3
follow,ついていく,3
fool,ばか、ばかにする,3
force,力、強いる,3
form,形、形づくる,3
forward,前方へ,3
freeze,凍る、凍結,3
fresh,目新しい,3
fuel,燃料、燃料補給する,3
future,将来、未来の,3
gain,手に入れる、増加分,3
gallon,ガロン,3
gang,群れ・暴力団,3
garden,庭,3
gather,集める,3
guarantee,保証,3
halt,止まる、停止,3
hang,掛ける,3
happen,起こる,3
hate,憎む、憎しみ,3
heal,治す,3
hijack,（飛行機などを）乗っ取る、乗っ取り,3
hill,丘,3
hire,雇う,3
holy,神聖な,3
honest,正直な,3
horrible,恐ろしい,3
hostage,人質,3
huge,巨大な,3
humor,ユーモア,3
hunt,狩る,3
hurry,急ぐ,3
hurt,傷つける,3
identify,（同一のものであると）確認する,3
import,輸入する,3
improve,改善する,3
incident,事件,3
include,含む,3
increase,増大する,3
independent,独立した,3
indicate,示す,3
individual,個人、個人の,3
industry,工業,3
influence,影響を与える、影響,3
inform,知らせる,3
injure,傷つける,3
innocent,無罪の、純粋な人,3
insect,虫,3
instead,その代わりに,3
insurance,保険,3
intelligence,知能,3
invade,侵略する,3
invest,投資する,3
issue,発行する、発行,3
joint,合わせ目、共同の,3
joy,喜び,3
judge,裁判官、審査する,3
kid,（～を）からかう,3
kit,一式,3
labor,労働,3
laboratory,研究所,3
laugh,笑う、笑い,3
law,法律,3
leak,漏れる,3
least,最小の,3
legal,合法的,3
length,長さ,3
less,より小さい,3
let,（～に～を）許す,3
lift,上げる、上がること,3
load,積む、積荷,3
loan,貸付金、貸す,3
locate,位置させる,3
lock,錠、鍵をかける,3
log,記録、記録をつける,3
luck,運,3
manufacture,製作、製作する,3
master,征服する・習得する、支配者、主な,3
match,試合,3
material,材料、物質的な,3
matter,事柄,3
mayor,市長,3
measure,計る・測る、はかった量,3
media,メディア、媒体,3
memory,記録,3
mental,精神の,3
middle,真ん中、中間の,3
might,権力、（～）かもしれない,3
mile,マイル,3
military,軍隊,3
minister,大臣,3
minor,小さいほうの、副専攻,3
miscellaneous,種々雑多な（ものから成る）,3
mistake,誤り、誤解する,3
mix,混ぜる、混合,3
model,モデル、模型をつくる,3
moderate,穏健な・適度の、議長をする,3
modern,現代的な,3
moral,道徳、道徳上の,3
motion,動き、合図する,3
murder,殺人、殺す,3
muscle,筋肉,3
nation,国家,3
navy,海軍,3
necessary,必要な、必要なもの,3
neutral,中立・中性、中立の,3
nowhere,どこにも[どこへも]（～）ない,3
object,対象、反対する,3
observe,観察する,3
occur,起こる,3
offensive,侮蔑的な、攻撃,3
offer,提供する、提案,3
operate,操作する・手術する,3
opinion,意見,3
opportunity,機会,3
opposite,反対の、反対の人、反対に,3
organize,組織する,3
ounce,オンス,3
owe,借りがある,3
own,自分の、所有する,3
pain,痛み,3
parade,パレード、パレードする,3
pass,通る・合格する、入場証,3
past,過去、過去の,3
paste,張り付ける、ペースト上のもの,3
path,小道、方向,3
patient,患者、辛抱強い,3
pattern,柄、まねる,3
pay,払う、賃金,3
perfect,完全な,3
perform,演じる,3
perhaps,たぶん,3
period,期間、ある時代の,3
permanent,永久の,3
permit,許す,3
physical,身体の,3
pint,パイント,3
pipe,管、管で送る,3
plane,飛行機,3
plant,植物、植える,3
plastic,プラスチック、プラスチックの,3
policy,方針,3
politics,政治,3
pollute,汚染する,3
pray,祈る,3
pregnant,妊娠している,3
present,現在／与える,3
price,値段、値段をつける,3
print,印刷する、印刷,3
prison,刑務所,3
private,個人的な,3
prize,賞、高く評価する,3
process,過程、処理する,3
product,商品,3
professor,教授,3
profit,利益、利益をあげる,3
program,プログラム、プログラムをつくる,3
progress,進行,3
project,計画する,3
property,財産,3
propose,提案する,3
protect,守る,3
protest,異議、抗議する,3
provide,提供する,3
public,公共,3
publish,出版する,3
purchase,購入する、購入,3
pure,純粋な,3
purpose,目的、意図する,3
quality,質,3
quart,クオート,3
quarter,4分の1、4等分する,3
queen,女王、女王にする,3
quiet,静かな,3
quit,辞める,3
quite,実に、かなり,3
race,レース、レースする,3
radiation,放射,3
raise,持ち上げる、増加,3
rare,珍しい,3
rate,程度、料金,3
rather,多少／むしろ,3
ray,光線,3
reach,届く、伸ばすこと,3
react,反応する,3
receive,得る,3
recognize,見分ける、認識する,3
record,記録・レコード、記録する,3
recover,回復する,3
reduce,減らす,3
refugee,難民,3
refuse,拒否する,3
regret,後悔する,3
regular,通常の・規則的な、常連,3
reject,断る、不良品,3
relation,関係,3
release,放す、開放,3
remain,残る,3
remember,覚える,3
remove,取り除く,3
repair,修理する、修理,3
repeat,繰り返し言う、繰り返し,3
represent,代表する,3
request,頼む,3
require,要する,3
rescue,救助する、救助,3
research,研究、研究する,3
resist,抵抗する,3
resolution,決意,3
resource,資源,3
respect,尊敬する、関心,3
responsible,責任がある,3
rest,休憩する、残り,3
result,結果、結果として起こる,3
retire,引退する,3
riot,暴動、暴動を起こす,3
rise,上がる・高まる、上昇,3
risk,危険、危険にさらす,3
rob,奪う,3
root,根、根付かせる,3
rope,縄、縛る,3
rough,粗い、荒くする、でこぼこ,3
row,列、船をこぐ,3
rubber,ゴム,3
ruin,破壊する、破壊,3
rule,規則、支配する,3
sail,帆、航海する,3
satisfy,満足させる,3
scale,規模・うろこ、よじ登る,3
scare,おびえさせる、恐怖,3
script,脚本,3
section,課、細かく分ける,3
seed,種子、種を蒔く,3
seem,見える・思われる,3
seldom,めったに（～ない）,3
senate,議会・上院,3
serve,仕える、サーブ,3
several,いくつかの,3
sex,性別・セックス,3
shade,陰、陰を落とす,3
shake,揺れる、振ること,3
shame,恥ずかしさ、恥じさせる,3
shape,形、形作る,3
sharp,鋭い、鋭く、シャープ,3
shelf,棚,3
shell,殻、殻を取る,3
shelter,保護する、非難,3
shine,光る、輝き,3
shrink,縮む,3
shut,閉じる,3
signal,信号、合図する,3
silence,静けさ、黙らせる,3
silk,絹、絹の,3
silver,銀、銀の、銀めっきする,3
similar,類似した,3
situation,状況,3
skin,皮膚、皮をはぐ,3
slave,奴隷,3
smash,粉砕する、粉砕、まともに,3
social,社会の、懇談会,3
soldier,兵士、兵役につく,3
solid,固形の、固体,3
solve,解く,3
soul,魂,3
spell,つづる,3
spend,使う・過ごす,3
spirit,精神,3
spot,スポット・しみ、見つける,3
spread,塗る・広げる、拡大,3
spring,春・ばね・泉、跳ねる,3
spy,スパイ、スパイする,3
state,状態・国家、述べる,3
status,地位,3
stay,泊まる・滞在する、滞在,3
steal,盗む,3
steam,蒸気、蒸発する,3
steel,鋼鉄、堅くする,3
still,動きがない、じっと、スチール,3
stomach,胃,3
straight,真っすぐ、真っ直ぐな、真っ直ぐに,3
strange,奇妙な,3
stretch,伸ばす・張る、伸びること,3
strike,たたく・ぶつかる、打撃,3
string,糸、糸を通す,3
structure,構造、組み立てる,3
stupid,愚かな,3
subject,主題、支配された、従わせる,3
substance,もの,3
substitute ,代用する,3
succeed,成功する,3
sudden,突然の,3
suffer,苦しむ,3
suggest,提案する,3
supervise,監督する,3
supply,供給する、供給,3
support,支援する、サポート,3
surface,表面、表面の、表面を仕上げる,3
survive,生き残る,3
suspect,疑う、容疑者、疑わしい,3
suspend,延期する,3
symbol,象徴,3
sympathy,同情,3
system,システム,3
task,仕事、役割,3
terrible,ひどい,3
territory,領土,3
terror,恐怖,3
theory,理論,3
thought,思考,3
tie,結ぶ、ネクタイ・結ぶためのもの,3
tight,きつい、しっかりと,3
tiny,とても小さい,3
tongue,舌,3
tradition,伝統,3
transport,運送する、輸送・輸送機関,3
treasure,宝,3
trial,裁判・試用,3
trick,ごまかす、ごまかし,3
troop,軍隊・集まり、群れを成して進む,3
trust,信用する、信用,3
universe,宇宙,3
valley,谷,3
vegetable,野菜,3
vehicle,乗り物,3
version,版,3
victim,被害者,3
violence,暴力,3
vote,投票、投票する,3
warn,警告する,3
waste,浪費する、浪費、不要の,3
weapon,武器,3
wet,ぬれた、濡れる・濡らす、湿気,3
wheel,輪、回転させる,3
wise,賢い,3
FALSE,誤った,3
able,（～）できる,2
about,（～に）関する,2
above,（～の）上に,2
adult,大人,2
after,後に,2
again,再び,2
age,年齢,2
ago,前に,2
ahead,先に,2
air,空気,2
almost,ほとんど,2
alone,独り,2
already,すでに,2
also,また,2
although,けれども,2
always,いつも,2
anger,怒り,2
angle,角度,2
another,ほかの、もう一つの,2
answer,返事／答える,2
any,いくらかの,2
area,地域,2
arm,腕,2
around,周辺,2
arrive,着く,2
as,(～の）ように,2
ask,尋ねる、頼む,2
at,に、で,2
attack,攻撃する,2
autumn,秋,2
available,利用できる,2
average,平均,2
balance,平衡,2
barrier,障壁,2
base,土台、基地,2
beat,打つ,2
beauty,美しさ,2
because,なぜなら,2
become,（～に）なる,2
before,前に,2
begin,始める,2
behind,後ろに,2
believe,信じる,2
belong,（～に）属する,2
below,下に,2
best,最もよい,2
better,よりよい,2
between,（～に）間に,2
bill,請求書,2
birth,誕生,2
bite,かむ,2
blade,刃,2
blank,空白,2
block,塊／防げる,2
blood,血,2
bomb,爆弾,2
bonus,ボーナス,2
boot,長靴,2
border,境,2
born,生まれた,2
borrow,借りる,2
both,両方,2
break,壊す／休憩,2
brick,れんが,2
bright,明るい,2
bring,持ってくる,2
brush,ブラシ,2
budget,予算,2
build,建てる,2
bullet,弾丸,2
burn,燃える,2
by,（～の）近くに、（～に）よって,2
cabinet,内閣、戸棚,2
can,できる,2
cancel,取り消す,2
capture,捕らえる,2
care,世話,2
carry,運ぶ,2
case,場合,2
cash,現金,2
catch,掴む,2
cause,原因,2
century,世紀,2
ceremony,式,2
chairman,議長,2
change,変化,2
character,性格,2
charge,請求する,2
chart,図表,2
cheap,安い,2
check,調査する,2
cheese,チーズ,2
choose,選ぶ,2
church,教会,2
circle,円,2
citizen,公民,2
city,都市,2
class,授業,2
clean,清潔な,2
clear,透明な、明確な,2
climb,上る,2
close,近い,2
cloth,布,2
cloud,雲,2
coal,石炭,2
coast,海岸,2
coat,上着,2
code,暗号,2
cold,寒い,2
collect,集める,2
college,大学,2
color,色,2
come,来る,2
company,会社,2
compare,比較する,2
computer,コンピュータ,2
continue,続く,2
control,支配する,2
cook,料理する,2
cool,涼しい,2
copy,写す,2
cork,コルク,2
corn,トウモロコシ,2
corner,隅,2
correct,直す,2
count,数える,2
country,国,2
cry,泣く,2
culture,文化,2
cup,カップ,2
cut,切る,2
dance,踊る,2
danger,危険,2
dark,暗い,2
date,日付,2
daughter,娘,2
dead,死んでいる,2
deep,深い,2
departure,出発,2
desert,砂漠,2
design,図案を作る、デザイン,2
desire,望む、欲求,2
destroy,破壊する,2
die,死ぬ,2
diet,常食、ダイエット,2
difficult,難しい,2
direct,直接の、向ける,2
disk,ディスク,2
distance,距離,2
divide,分ける,2
document,文書、証明する,2
doubt,疑う、疑い,2
dream,夢を見る、夢,2
dress,ドレス、着る,2
drink,飲む、ドリンク,2
drive,運転する、ドライブ,2
drop,落とす、落ちたもの,2
drug,薬,2
dry,乾いた、乾かす,2
during,（～の）間,2
dust,ホコリ、ホコリを払う,2
each,それぞれの,2
early,早い,2
east,東,2
easy,簡単,2
eat,食べる,2
education,教育,2
either,どちらの,2
engine,エンジン,2
enjoy,楽しむ,2
enough,十分な,2
enter,入る,2
event,行事,2
ever,いつもの,2
every,すべての,2
example,例,2
excuse,言い訳、許す,2
execute,実行する,2
exercise,運動する、運動,2
exist,存在する,2
expand,拡張する,2
expert,専門家,2
fact,事実,2
factory,工場,2
fall,転ぶ、落ちる、秋,2
famous,有名な,2
far,遠い,2
fast,速い,2
fat,太った,2
female,女／メスの,2
few,少ない,2
field,畑、分野,2
fight,戦う、戦い,2
file,ファイル、ファイルする,2
fill,満たす,2
film,映画,2
final,最後の、最後,2
find,見つける,2
finish,終わる、集結,2
fire,火、燃やす,2
first,最初,2
fix,直す,2
flag,旗、旗を立てる,2
flat,平らな、平面,2
floor,床,2
flow,流れ、流れる,2
food,食べ物,2
foot,足,2
for,（～に）向かって、（～の）ために,2
foreign,外国の,2
forest,森林,2
forget,忘れる,2
frame,枠,2
free,無料,2
from,（～）から,2
front,先の、前,2
fruit,果物,2
full,満ちた,2
fun,楽しみ,2
game,遊び・ゲーム,2
gas,ガス,2
general,一般の,2
gentle,優しい,2
get,受け取る,2
gift,贈り物,2
give,与える,2
global,全世界の,2
grass,草,2
ground,土地,2
group,集団,2
grow,成長する,2
guard,守る、番人,2
guide,案内する、案内,2
gun,鉄砲,2
hair,毛,2
half,半分,2
happy,うれしい,2
hard,硬い、熱心に,2
have,持つ,2
he,彼,2
health,健康,2
hear,聞く,2
heart,心臓,2
heat,熱、熱くする,2
heavy,重い,2
help,助ける、救助,2
her,彼女の,2
here,ここ,2
hide,隠す,2
high,高い,2
him,彼に,2
his,彼の,2
history,歴史,2
hit,打つ、成功,2
hold,持つ,2
hole,穴,2
holiday,休暇,2
hope,（～と）願う、願い,2
horse,馬,2
hospital,病院,2
how,どのように、どれほど,2
however,しかしながら,2
human,人間、人間の,2
husband,夫,2
if,もし,2
ill,病気で,2
imagine,想像する,2
important,大事な,2
inch,インチ,2
interest,興味、興味をひく,2
international,国際的な,2
into,（～の）中に[へ],2
invite,招待する,2
iron,鉄、アイロンをかける,2
island,島,2
item,項目、種目,2
jacket,ジャケット,2
jail,刑務所,2
jewel,宝石,2
job,仕事,2
join,結合する、接点,2
joke,冗談、冗談を言う,2
jump,跳ぶ、ジャンプ,2
just,公正な・ちょうど,2
keep,保つ,2
kill,殺す,2
kind,種類,2
kiss,キスする、キス,2
know,知る,2
lake,湖,2
land,陸地,2
language,言葉,2
late,遅い,2
lead,導く,2
learn,学ぶ,2
leave,去る,2
leg,脚,2
lend,貸す,2
lie,嘘、横たわる,2
like,好む,2
limit,限界,2
link,つなぐ、つなぐもの,2
lip,唇,2
liquid,液体、液体の,2
list,一覧、表にする,2
listen,聴く,2
little,小さい,2
live,生きる,2
local,現地の,2
long,長い,2
look,見る,2
loose,緩い、開放する,2
lose,失う、負ける,2
lot,たくさん,2
loud,うるさい,2
low,低い,2
main,主要な、本線,2
major,大きいほうの、専攻科目、専攻する,2
make,作る,2
male,男、オスの,2
many,たくさんの,2
march,行進する,2
mark,印、印をつける,2
market,市場、買い物する,2
marry,結婚する,2
may,（～）かもしれない,2
mean,意味する,2
meat,肉,2
meet,会う,2
member,一員,2
message,伝言,2
meter,メートル,2
method,方法,2
mind,精神、気をつける,2
mine,私のもの・鉱山・地雷,2
miss,失敗、寂しく思う,2
more,より多くの,2
most,最も、最高の,2
move,動く・引っ越す、移動,2
much,たくさんの、たくさん,2
music,音楽,2
must,（～）すべきである,2
mystery,神秘,2
nail,くぎ、爪,2
narrow,狭い、狭くする,2
native,出生地の、土地の人,2
near,近い,2
neck,首,2
need,（～）する必要がある、要求,2
neighbor,隣人,2
neither,（AもBも～）ない,2
never,一度も～ない,2
noise,音・雑音,2
noon,正午,2
normal,普通の・標準、普通,2
not,（～で）ない,2
nothing,何も（～）ない,2
notice,気づく、注意,2
number,数字、数える,2
of,（～）の,2
off,離れて・外れて,2
office,事務室,2
officer,将校・役人,2
often,たびたび,2
oil,石油・油、油を注ぐ,2
once,一度,2
only,ただ（～）だけ,2
order,命令・順番、注文する,2
other,ほかの,2
our,私たちの,2
ours,私たちのもの,2
out,外,2
over,の上・終わる,2
paint,ペンキを塗る、ペンキ,2
pan,浅鍋,2
pants,ズボン・パンツ,2
part,部分、分ける、一部の,2
party,パーティ・政党,2
passenger,乗客,2
peace,平和,2
person,人,2
pick,選ぶ、選択すること,2
picture,絵、絵を描く,2
piece,一個・一片、つなぎ合わせる,2
pilot,パイロット、試験的な、案内する,2
place,場所、置く,2
plain,明白な・簡素な、はっきり,2
plan,計画、計画する,2
plate,皿,2
play,弾く・遊ぶ、劇,2
please,どうぞ、喜ばせる,2
poison,毒、毒をいれる,2
poor,貧しい,2
popular,人気がある,2
port,港,2
position,位置・立場、置く,2
possible,可能、可能性,2
powder,粉、粉にする,2
practice,練習する,2
press,押す、押すこと,2
pretty,きれいな、かなり,2
problem,問題,2
pull,引く、引くこと,2
push,押す、押すこと,2
put,置く,2
question,質問,2
quick,速い、速く,2
rail,鉄道・レール、レールを敷く,2
rain,雨、雨が降る,2
read,読む、読書,2
ready,用意ができた、用意する,2
real,本物,2
reason,理由、理性,2
red,赤い,2
report,報告、報告する,2
return,戻る、帰還,2
ride,乗る、乗ること,2
ring,指輪、取り囲む,2
river,川,2
road,道,2
roll,転がる、転がり,2
roof,屋根、屋根をつける,2
round,丸い、回って、回る,2
sad,悲しい,2
safe,安全、安全な,2
salt,塩,2
same,同じ、同様に,2
sand,砂、砂で埋める,2
save,救う、防衛,2
say,言う、言い分,2
school,学校、教育する,2
science,科学,2
score,得点、得点する,2
search,探す、検索,2
season,季節、適応する,2
seat,席、着席させる,2
second,二番目・秒、第二の、第二に、補佐する,2
secret,秘密、秘密の,2
security,安全,2
seek,探す,2
self,自己,2
sell,売る、売り方,2
sense,感覚、感じる,2
sentence,文、判断を下す,2
separate,引き離す、別個の,2
series,連続,2
serious,まじめな・真剣な,2
set,置く、セットの、セット,2
settle,落ち着かせる、決着する,2
shall,（～）でしょう・だろう,2
share,分配する、分配,2
she,彼女,2
sheet,シーツ・1枚の（～）,2
ship,船、船に積む,2
shirt,シャツ,2
shock,ショック、衝撃を与える,2
shoe,靴、靴を履かせる,2
shoot,撃つ、発射,2
should,（～）べきである,2
shout,叫ぶ、叫び,2
show,見せる、ショー,2
sick,病気の,2
side,側・面、側につく,2
sign,合図・しるし、署名する,2
simple,簡単な,2
since,（～）以来、以来、それ以来,2
sing,歌う,2
single,単独、単独の、選ぶ,2
size,大きさ、大きさで分類する,2
skill,技術,2
skirt,スカート、取り巻く,2
slide,横滑りする、滑走,2
slip,滑る、滑ること,2
smart,賢い、苦悩、憤慨する,2
smell,におい、におう,2
smile,微笑する、微笑,2
smoke,煙、たばこを吸う,2
smooth,滑らかな、滑らかにする,2
snack,軽食・おやつ、軽食をとる,2
snake,蛇、蛇行する,2
so,だから、とても,2
soap,せっけん,2
soft,柔らかい、柔らかに,2
some,多少の、いくらか,2
son,息子,2
soon,もうすぐ,2
sorry,後悔して・残念に思って,2
sort,種類、分類する,2
sound,音、鳴る,2
south,南、南の、南へ,2
space,宇宙・空間、感覚を置く,2
speak,話す,2
special,特別な、特別,2
speech,スピーチ,2
speed,速度、スピードを出す,2
square,正方形、正方形の、直角に、四角くする,2
stage,舞台、上演する,2
stair,階段１段,2
stamp,切手、印を押す,2
stand,立つ、停止,2
star,星、星をつける・主演する,2
start,始まる、出発,2
starve,飢える,2
station,駅・局、配置する,2
step,一歩,2
stick,棒,2
storm,嵐、強襲する,2
story,物語,2
stream,小川・流れ、流れる,2
street,街路,2
strong,強い,2
study,勉強する、勉強,2
such,（～の）ような,2
suit,スーツ、合う,2
sure,確かな、確かに,2
surprise,驚かす,2
sweet,甘い、甘いもの、甘く,2
swim,泳ぐ、水泳,2
tail,尾、尾行する,2
take,取る、場面,2
talk,話す、話,2
tall,高い,2
target,標的,2
taste,味、味わう,2
tax,税金、課税する,2
teach,教える,2
team,チーム、チームをつくる,2
tell,伝える,2
term,期間・条件、～と呼ぶ,2
test,試験、試験する,2
than,（～）よりも、以上に,2
thank,感謝する、感謝の気持ち,2
that,それ・あれ、その・あの、そんなに、ということ,2
the,その,2
theater,劇場,2
their,彼らの,2
theirs,彼らのもの,2
them,彼らに,2
then,そのとき・それから、そのとき、その当時の,2
there,そこに・そこで、そこ・あそこ,2
these,これら、これらの,2
they,彼ら,2
thick,厚い・太い、太い部分、厚く,2
thin,薄い・細い、薄く、薄くする,2
thing,物,2
think,考える,2
third,3番目、3番目の、3番目に,2
this,これ、この,2
those,それら、それらの,2
though,（～だ）けれども,2
through,（～を）通して、通って、突き通す、通しの,2
throw,投げる、投げること,2
tire,疲れさせる・疲れる,2
title,タイトル,2
to,へ・に,2
together,一緒に,2
tone,音・語調、音色を変える,2
tonight,今夜は、今夜,2
too,（～）も,2
tool,道具、道具で細工する,2
tooth,歯、歯をつける,2
top,最高、最高の、頂点になる,2
total,全部、全部の、合計する,2
touch,触る、触ること,2
toward,（～の）ほうへ,2
track,小道・走路、追跡する,2
trade,貿易、貿易する・交換する,2
traffic,交通、取引するあ,2
train,電車、訓練する,2
travel,旅行する、旅行,2
trip,旅、つまづく,2
trouble,困難、乱す・心配する,2
truck,トラック、運ぶ,2
try,試みる、試み,2
tube,管・筒,2
turn,回す・向ける、回転,2
twice,2度,2
under,下に、下に、下の,2
understand,わかる,2
unit,単位,2
unless,（～）でないかぎり,2
until,（～）まで、まで,2
up,上、上に、上へ,2
upon,（～の）上、上に,2
us,私たち,2
use,用いる、使用・使い方,2
value,価値、高く評価する,2
very,非常に,2
victory,勝利,2
view,意見・景色、眺める,2
visit,訪問する、訪問,2
voice,声,2
volume,量,2
wait,待つ、待つこと,2
walk,歩く、歩くこと,2
want,欲しい、必要,2
warm,暖かい、暖める,2
wash,洗う、洗濯,2
watch,監視する、監視,2
we,私たち,2
weak,弱い、薄い,2
wear,着る、着用,2
weather,天気、雨風にさらす,2
weight,重さ、重くする,2
welcome,歓迎する、歓迎、歓迎される,2
west,西、西の、西へ,2
what,何、何の、どれほど,2
